name,iso,currency,local_price
United Arab Emirates,ARE,AED,17
Argentina,ARG,ARS,450
Australia,AUS,AUD,6.4
Azerbaijan,AZE,AZN,4.5
Bahrain,BHR,BHD,1.5
Brazil,BRA,BRL,22.9
Canada,CAN,CAD,6.77
Switzerland,CHE,CHF,6.5
Chile,CHL,CLP,3100
China,CHN,CNY,24.4
Colombia,COL,COP,12950
Costa Rica,CRI,CRC,2650
Czech Republic,CZE,CZK,89
Denmark,DNK,DKK,32
Egypt,EGY,EGP,42.5
Euro area,EUZ,EUR,4.42
Britain,GBR,GBP,3.59
Guatemala,GTM,GTQ,26
Hong Kong,HKG,HKD,22
Honduras,HND,HNL,89
Croatia,HRV,HRK,23.67
Hungary,HUN,HUF,982
Indonesia,IDN,IDR,34000
India,IND,INR,190
Israel,ISR,ILS,17
Jordan,JOR,JOD,2.12
Japan,JPN,JPY,390
South Korea,KOR,KRW,4600
Kuwait,KWT,KWD,1.25
Lebanon,LBN,LBP,70000
Sri Lanka,LKA,LKR,840
Moldova,MDA,MDL,52
Mexico,MEX,MXN,69
Malaysia,MYS,MYR,9.99
Nicaragua,NIC,NIO,134
Norway,NOR,NOK,57
New Zealand,NZL,NZD,7
Oman,OMN,OMR,1.15
Pakistan,PAK,PKR,590
Peru,PER,PEN,12.9
Philippines,PHL,PHP,142
Poland,POL,PLN,14.08
Qatar,QAT,QAR,13
Romania,ROU,RON,10.6
Russia,RUS,RUB,135
Saudi Arabia,SAU,SAR,15
Singapore,SGP,SGD,5.9
Sweden,SWE,SEK,54
Thailand,THA,THB,128
Turkey,TUR,TRY,24.99
Taiwan,TWN,TWD,75
Ukraine,UKR,UAH,69
Uruguay,URY,UYU,239
United States,USA,USD,5.81
Venezuela,VEN,VES,23
Vietnam,VNM,VND,69000
South Africa,ZAF,ZAR,39.9
