name,iso,currency,localPrice
United Arab Emirates,ARE,AED,14.75
Argentina,ARG,ARS,380
Australia,AUS,AUD,6.55
Azerbaijan,AZE,AZN,3.95
Bahrain,BHR,BHD,1.5
Brazil,BRA,BRL,22.9
Canada,CAN,CAD,6.77
Switzerland,CHE,CHF,6.5
Chile,CHL,CLP,2990
China,CHN,CNY,22.4
Colombia,COL,COP,12950
Costa Rica,CRI,CRC,2370
Czech Republic,CZE,CZK,89
Denmark,DNK,DKK,30
Egypt,EGY,EGP,42.5
Euro area,EUZ,EUR,4.27
Britain,GBR,GBP,3.49
Guatemala,GTM,GTQ,26
Hong Kong,HKG,HKD,21
Honduras,HND,HNL,87
Croatia,HRV,HRK,24
Hungary,HUN,HUF,900
Indonesia,IDN,IDR,34000
India,IND,INR,190
Israel,ISR,ILS,17
Jordan,JOR,JOD,2.13
Japan,JPN,JPY,390
South Korea,KOR,KRW,4600
Kuwait,KWT,KWD,1.25
Lebanon,LBN,LBP,37000
Sri Lanka,LKA,LKR,700
Moldova,MDA,MDL,52
Mexico,MEX,MXN,64
Malaysia,MYS,MYR,9.99
Nicaragua,NIC,NIO,128
Norway,NOR,NOK,57
New Zealand,NZL,NZD,6.9
Oman,OMN,OMR,1.15
Pakistan,PAK,PKR,580
Peru,PER,PEN,12.9
Philippines,PHL,PHP,142
Poland,POL,PLN,13.43
Qatar,QAT,QAR,13
Romania,ROU,RON,10.6
Russia,RUS,RUB,169
Saudi Arabia,SAU,SAR,14
Singapore,SGP,SGD,5.9
Sweden,SWE,SEK,54
Thailand,THA,THB,128
Turkey,TUR,TRY,19.99
Taiwan,TWN,TWD,72
Ukraine,UKR,UAH,65
Uruguay,URY,UYU,225
United States,USA,USD,5.65
Venezuela,VEN,VES,30164100
Vietnam,VNM,VND,69000
South Africa,ZAF,ZAR,33.5
